Date,Close_Oil,High_Oil,Low_Oil,Open_Oil,Volume_Oil,Oil_Return,Close_USD,High_USD,Low_USD,Open_USD,Volume_USD,USDNGN_Return
2021-03-22,64.62000274658203,65.06999969482422,63.45000076293945,64.66000366210938,29644,0.0013937898690251484,380.0,380.75,379.5,380.75,0,0.0
2021-03-23,60.790000915527344,64.33999633789062,60.2599983215332,64.30999755859375,43200,-0.0610986860788184,378.0,411.1300048828125,379.5,379.5,0,-0.005277057100843781
2021-03-24,64.41000366210938,64.55999755859375,60.34000015258789,60.34999847412109,36451,0.05784364059389785,379.0,380.5499877929688,379.0,380.0,0,0.002642009462838576
2021-03-25,61.95000076293945,64.1500015258789,60.97999954223633,64.1500015258789,27894,-0.03894133702446334,380.0,380.5499877929688,379.0,380.0,0,0.002635047638005032
2021-03-26,64.56999969482422,64.87999725341797,61.7400016784668,61.7400016784668,23364,0.04142228152153926,380.5,409.1600036621094,380.5,380.5,0,0.001314924581309022
2021-03-29,64.9800033569336,65.44999694824219,63.13999938964844,64.04000091552734,18231,0.0063296799898833415,380.5499877929688,390.1700134277344,379.0,380.5499877929688,0,0.00013136533432097985
2021-03-30,64.13999938964844,65.6500015258789,63.63999938964844,65.30999755859375,4695,-0.013011397152899031,379.5,380.5499877929688,378.0,379.5,0,-0.002762945800376884
2021-03-31,63.540000915527344,64.69000244140625,63.540000915527344,64.4800033569336,38444,-0.009398541499034614,380.0,381.0,379.5,380.0,0,0.0013166558847469028
2021-04-01,64.86000061035156,65.16000366210938,62.369998931884766,62.9900016784668,66715,0.020561467039417178,381.0,381.0,379.0,381.0,0,0.0026281224062694084
2021-04-05,62.150001525878906,64.80999755859375,61.2400016784668,64.80999755859375,37285,-0.04268026778119327,380.5,408.8599853515625,380.5,380.5,0,0.0
2021-04-06,62.7400016784668,64.2699966430664,62.08000183105469,62.29999923706055,44319,0.009448387006998987,408.8599853515625,409.5,380.75,380.75,0,0.07188658602760634
2021-04-07,63.15999984741211,63.52000045776367,61.59999847412109,62.68000030517578,42225,0.006671957456276928,380.75,380.5499877929688,380.5499877929688,380.5499877929688,0,-0.07122977155407569
2021-04-08,63.20000076293945,63.41999816894531,62.380001068115234,62.97999954223633,32283,0.0006331262530915522,380.5499877929688,380.8739929199219,380.5499877929688,380.5499877929688,0,-0.0005254491392097572
2021-04-09,62.95000076293945,63.459999084472656,62.56999969482422,63.290000915527344,29073,-0.003963540614513474,380.5499877929688,380.8800048828125,380.8800048828125,380.8800048828125,0,0.0
2021-04-12,63.27999877929688,64.30999755859375,62.40999984741211,63.02000045776367,36366,0.005228531558768911,380.5499877929688,380.75,378.0,380.5499877929688,0,0.0
2021-04-13,63.66999816894531,64.18000030517578,63.22999954223633,63.2400016784668,26957,0.006144161101524169,380.0,381.0,380.0,380.0,0,-0.0014462899156300636
2021-04-14,66.58000183105469,66.9000015258789,63.88999938964844,64.01000213623047,35988,0.04469079437803289,381.5,381.5,380.25,381.5,0,0.00393959800408031
2021-04-15,66.94000244140625,67.02999877929688,65.95999908447266,66.3499984741211,23442,0.005392472606289403,380.0,381.0,380.0,380.0,0,-0.003939598004080203
2021-04-16,66.7699966430664,67.37999725341797,66.44999694824219,66.86000061035156,24035,-0.002542904661040013,380.5,380.6000061035156,380.25,380.5,0,0.001314924581309022
2021-04-19,67.05000305175781,67.2300033569336,66.19000244140625,66.69000244140625,19740,0.0041848276486442905,410.5299987792969,380.7699890136719,376.0,380.760009765625,0,0.07596282755472614
2021-04-20,66.56999969482422,68.08000183105469,65.5,67.12000274658203,40194,-0.007184634214016132,379.5,380.75,379.5,379.5,0,-0.07859440802078216
2021-04-21,65.31999969482422,66.5199966430664,64.95999908447266,66.36000061035156,32764,-0.018955757598075343,380.5,408.2699890136719,380.0,380.5,0,0.0026315804660558212
2021-04-22,65.4000015258789,65.83999633789062,64.58000183105469,65.11000061035156,26722,0.0012240183643813882,380.0,380.5299987792969,377.0,380.0,0,-0.0013149245813090288
2021-04-23,66.11000061035156,66.30999755859375,65.16999816894531,65.62000274658203,22397,0.010797748783215913,378.0,380.75,378.0,380.5,0,-0.005277057100843781
